id,name,reason
dcjk-vw8q,"District Attorney Cases Prosecuted",boundaries:exceeds-current+previous in Public Safety
czsm-3ei3,"District Attorney Actions Taken on Arrests Presented",boundaries:exceeds-current+previous in Public Safety
d4vc-q76h,"Current Police Districts",boundaries:exceeds-current+previous in Public Safety
3v4q-rhki,"City Facilities - Board of Supervisors Jurisdiction or Leased",boundaries:exceeds-current+previous in City Infrastructure
xqrt-ajqb,"City Facilities - District Attorney Jurisdiction or Leased",boundaries:exceeds-current+previous in City Infrastructure
cp97-aniw,"City Facilities - Office of Contract Administration Jurisdiction or Leased",boundaries:exceeds-current+previous in City Infrastructure
rxa4-qmcf,"City Facilities - School District (SFUSD) Jurisdiction or Leased",boundaries:exceeds-current+previous in City Infrastructure
3jvq-4i5s,"City Facilities by Supervisor District",boundaries:exceeds-current+previous in City Infrastructure
fzwb-c3ef,"Map of Street Tree Count by Neighborhood",boundaries:exceeds-current+previous in City Infrastructure
nz88-hq4s,"Civic Art Collection Map with Cultural District Overlay",boundaries:exceeds-current+previous in Culture and Recreation
vgj7-rp7k,"StreetSmArts Murals Map with Cultural District Overlay",boundaries:exceeds-current+previous in Culture and Recreation
er2a-pvs2,"San Francisco Sales Tax by Census Block (2018 - 2023)",boundaries:exceeds-current+previous in Economy and Community
8iwv-ngi4,"DBI Electrical Inspection Division District Map",boundaries:exceeds-current+previous in Housing and Buildings
p5ar-a8ns,"DBI Electrical Inspection Division Districts",boundaries:exceeds-current+previous in Housing and Buildings
kyji-zand,"DBI Plumbing Inspection Division District Map",boundaries:exceeds-current+previous in Housing and Buildings
u3rf-fdu7,"DBI Plumbing Inspection Division Districts",boundaries:exceeds-current+previous in Housing and Buildings
8926-tn8u,"DBI Housing Inspection Services District Map",boundaries:exceeds-current+previous in Housing and Buildings
cq4r-nm4f,"DBI Housing Inspection Services Districts",boundaries:exceeds-current+previous in Housing and Buildings
mb6q-fpgh,"DBI Building Inspection Division District Map",boundaries:exceeds-current+previous in Housing and Buildings
pcra-csp6,"DBI Building Inspection Division Districts",boundaries:exceeds-current+previous in Housing and Buildings
8m6w-8yuk,"Historic Zoning Districts - 2001",boundaries:exceeds-current+previous in Housing and Buildings
m2xc-rbc2,"SFEC Form 126f4 - Notification of Contract Approval - Electronic Filings",boundaries:exceeds-current+previous in City Management and Ethics
ite2-5y3b,"SFEC Form 126f4 - Notification of Contract Approval - Filings",boundaries:exceeds-current+previous in City Management and Ethics
czjm-dat8,"SFEC Form 126f4 - Notification of Contract Approval - Affiliates and Subcontractors",boundaries:exceeds-current+previous in City Management and Ethics
9teh-d7ay,"SFEC Campaign Consultant Report – City Contracts Joined View",boundaries:exceeds-current+previous in City Management and Ethics
bahx-rvh4,"SFEC Campaign Consultant Report - City Contracts",boundaries:exceeds-current+previous in City Management and Ethics
ssx6-3d9r,"SFEC Form 124 - Contributions Made by Business Entities - Contracts and Grants",boundaries:exceeds-current+previous in City Management and Ethics
i4pn-8kaq,"SFEC Form 124 - Contributions Made by Business Entities - Contracts and Grants - Joined with Cover",boundaries:exceeds-current+previous in City Management and Ethics
